id,name,thumbnail,menu,ctg1,ctg2,diet,cheap,latitude,longitude,kakao_link
85,후루룩손칼국수,./pictures/p85.jpg,"[{""name"": ""국산콩국수"", ""price"": ""9500""}, {""name"": ""한그릇바지락칼국수"", ""price"": ""10000""}, {""name"": ""한그릇바지락수제비"", ""price"": ""10000""}, {""name"": ""얼큰 만두전골"", ""price"": ""11000""}, {""name"": ""바지락칼국수"", ""price"": ""10000""}]","[""한식""]","[""칼국수""]",False,False,37.4018849193316,127.1061474019,https://map.kakao.com/?q=%ED%9B%84%EB%A3%A8%EB%A3%A9%EC%86%90%EC%B9%BC%EA%B5%AD%EC%88%98%20%ED%8C%90%EA%B5%90
86,오봉집 판교유스페이스점,./pictures/p86.jpg,"[{""name"": ""부추전"", ""price"": ""12000""}, {""name"": ""김치전"", ""price"": ""12000""}, {""name"": ""오봉스페셜"", ""price"": ""56000""}, {""name"": ""매생이연포보쌈"", ""price"": ""56000""}, {""name"": ""가브리수육전골"", ""price"": ""34000""}]","[""한식""]","[""칼국수""]",False,False,37.402069157743,127.10667058432,https://map.kakao.com/?q=%EC%98%A4%EB%B4%89%EC%A7%91%20%ED%8C%90%EA%B5%90%EC%9C%A0%EC%8A%A4%ED%8E%98%EC%9D%B4%EC%8A%A4%EC%A0%90
87,달빛어시장,./pictures/p87.jpg,"[{""name"": ""광어회"", ""price"": ""31000""}, {""name"": ""육회탕탕이"", ""price"": ""29000""}, {""name"": ""도다리 세꼬시"", ""price"": ""29000""}, {""name"": ""안면도참소라"", ""price"": ""30000""}, {""name"": ""제주 뿔소라"", ""price"": ""30000""}]","[""한식""]","[""칼국수""]",False,False,37.4009403786405,127.106448750271,https://map.kakao.com/?q=%EB%8B%AC%EB%B9%9B%EC%96%B4%EC%8B%9C%EC%9E%A5%20%ED%8C%90%EA%B5%90
88,제비면가 판교본점,./pictures/p88.jpg,"[{""name"": ""수제비"", ""price"": ""7000""}, {""name"": ""칼국수"", ""price"": ""7000""}, {""name"": ""매생이굴국밥"", ""price"": ""8000""}, {""name"": ""통영굴 수제비"", ""price"": ""8000""}, {""name"": ""통영굴 칼국수"", ""price"": ""8000""}]","[""한식"", ""분식""]","[""칼국수"", ""국밥"", ""비빔밥"", ""김밥""]",False,True,37.402106205472606,127.1104801801983,https://map.kakao.com/?q=%EC%A0%9C%EB%B9%84%EB%A9%B4%EA%B0%80%20%ED%8C%90%EA%B5%90%EB%B3%B8%EC%A0%90
89,청춘면가 판교점,./pictures/p89.jpg,"[{""name"": ""맵소"", ""price"": ""13000""}, {""name"": ""맵닭"", ""price"": ""13000""}, {""name"": ""맛잇소"", ""price"": ""12000""}, {""name"": ""맛잇닭"", ""price"": ""12000""}]","[""한식""]","[""칼국수""]",False,False,,,https://map.kakao.com/?q=%EC%B2%AD%EC%B6%98%EB%A9%B4%EA%B0%80%20%ED%8C%90%EA%B5%90%EC%A0%90
90,고향옥얼큰순대국 삼평점,./pictures/p90.jpg,"[{""name"": ""얼큰순대국"", ""price"": ""12000""}, {""name"": ""순순대국"", ""price"": ""11000""}, {""name"": ""뼈해장국"", ""price"": ""11000""}, {""name"": ""얼큰내장국밥"", ""price"": ""12000""}, {""name"": ""얼큰수육국밥"", ""price"": ""12000""}]","[""한식""]","[""국밥"", ""감자탕""]",False,False,37.4120735668557,127.126391289591,https://map.kakao.com/?q=%EA%B3%A0%ED%96%A5%EC%98%A5%EC%96%BC%ED%81%B0%EC%88%9C%EB%8C%80%EA%B5%AD%20%EC%82%BC%ED%8F%89%EC%A0%90%20%ED%8C%90%EA%B5%90
91,안동국시소호정 T-VALLEY점,./pictures/p91.jpg,"[{""name"": ""국시"", ""price"": ""15000""}, {""name"": ""국밥"", ""price"": ""15000""}, {""name"": ""수육 (대)"", ""price"": ""58000""}, {""name"": ""전 (대)"", ""price"": ""39000""}, {""name"": ""메밀묵 (대)"", ""price"": ""29000""}]","[""한식""]","[""국밥""]",False,False,,,https://map.kakao.com/?q=%EC%95%88%EB%8F%99%EA%B5%AD%EC%8B%9C%EC%86%8C%ED%98%B8%EC%A0%95%20T-VALLEY%EC%A0%90%20%ED%8C%90%EA%B5%90
92,조재벌식당,./pictures/p92.jpg,"[{""name"": ""부대찌개"", ""price"": ""11000""}, {""name"": ""한우국밥"", ""price"": ""11000""}, {""name"": ""김치찌개"", ""price"": ""10000""}, {""name"": ""두루치기"", ""price"": ""11000""}, {""name"": ""삼겹살"", ""price"": ""17000""}]","[""한식""]","[""국밥"", ""찌개"", ""고기""]",False,False,37.4036948848399,127.109316923664,https://map.kakao.com/?q=%EC%A1%B0%EC%9E%AC%EB%B2%8C%EC%8B%9D%EB%8B%B9%20%ED%8C%90%EA%B5%90
93,기달임 돼지곰탕 본점,./pictures/p93.jpg,"[{""name"": ""돼지곰탕(특)"", ""price"": ""14000""}, {""name"": ""돼지곰탕(보통)"", ""price"": ""10000""}, {""name"": ""유자수육"", ""price"": ""6000""}, {""name"": ""잔술"", ""price"": """"}]","[""한식""]","[""국밥""]",False,False,,,https://map.kakao.com/?q=%EA%B8%B0%EB%8B%AC%EC%9E%84%20%EB%8F%BC%EC%A7%80%EA%B3%B0%ED%83%95%20%EB%B3%B8%EC%A0%90%20%ED%8C%90%EA%B5%90
94,나진국밥 판교점,./pictures/p94.jpg,"[{""name"": ""술상한상A"", ""price"": ""56000""}, {""name"": ""술상한상B"", ""price"": ""51000""}, {""name"": ""갓수육(소)"", ""price"": ""33000""}, {""name"": ""갓수육(대)"", ""price"": ""43000""}, {""name"": ""수육(소)"", ""price"": ""28000""}]","[""한식""]","[""국밥""]",False,False,37.4004661132843,127.10681287508,https://map.kakao.com/?q=%EB%82%98%EC%A7%84%EA%B5%AD%EB%B0%A5%20%ED%8C%90%EA%B5%90%EC%A0%90
95,춘업순댓국 본점,./pictures/p95.jpg,"[{""name"": ""술국"", ""price"": ""22000""}, {""name"": ""순대곱창전골-중"", ""price"": ""30000""}, {""name"": ""모듬순대"", ""price"": ""35000""}, {""name"": ""보통순댓국"", ""price"": ""11000""}, {""name"": ""얼큰순댓국"", ""price"": ""12000""}]","[""한식""]","[""국밥""]",False,False,37.4012843732024,127.108644810967,https://map.kakao.com/?q=%EC%B6%98%EC%97%85%EC%88%9C%EB%8C%93%EA%B5%AD%20%EB%B3%B8%EC%A0%90%20%ED%8C%90%EA%B5%90
